Powerbuilding 3.0 Program - 5x/Week Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"IMPORTANT: In the light green cell below, type ""kg"" if using kilograms or type ""lbs"" if using pounds (quotation marks not included)",,,,,,,,,,,,,,,,,,,,,,
,,kg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT: On the right, enter your CURRENT 1 rep max loads in the spaces below the given exercise (use the same units you specified above).",,Squat,Bench,Deadlift ,OHP,,,,,,,,,,,,,,,,,,
,,,130,10,100,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Standing Calf Raise,1,2,10-12,,N/A,9,1-2min,Push these all very hard. Go to true failure.,,,,,,,,,,,,,,,
,Hanging Leg Raise,0,2,6-8,,N/A,8,1-2min,"Knees to chest, controlled reps, straighten legs more to increase difficulty",,,,,,,,,,,,,,,
FULL BODY 3:,Wide Stance Back Squat,3,2,8,,N/A,6,2-4min,"Sit fully back on to the box, release tension in thighs, minimize rocking while seated",,,,,,,,,,,,,,,
,Barbell Pin Bench Press,3,2,8,7.5-7.5,70-80%,6,2-4min,"Set the pins just above chest height, release tension while the bar is on the pins, then explode up. Control the weight.",,,,,,,,,,,,,,,
,Neutral Grip Pulldown,1,3,6-8,,N/A,9,2-3min,Pull your elbows down against your sides,,,,,,,,,,,,,,,
,Dumbbell Skull Crusher ,1,2,8-10,,N/A,10,1-2min,Arc the dummbells behind your head. Constant tension on triceps,,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
FULL BODY 4:,Deadlift,4,1,2,92.5-95,92.5-95%,8-9,3-5min,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,,,,,,,,,,,,,,
,Touch-And-Go Deadlift,0,2,8,65-75,65-75%,7,2-4min,1 second pause right after plates leave the floor,,,,,,,,,,,,,,,
,Dumbbell Lateral Raise,0,3,15-20,,N/A,9,1-2min,"Focus on contracting your delts to move the weight, don't let form get sloppy toward the end of the set!",,,,,,,,,,,,,,,
,Band Pull-Apart,1,3,15-20,,N/A,9,1-2min,Mind-muscle connection with rear delts,,,,,,,,,,,,,,,
,Dumbell Pullover,1,2,15-20,,N/A,7,1-2min,Use bands if no cables. Keep constant tension on the lats. Big stretch at the top by leaning slightly forward.,,,,,,,,,,,,,,,
,Hammer Curl,1,3,8-10,,N/A,9,1-2min,"Keep elbows locked in place, squeeze the dumbbell handle hard!",,,,,,,,,,,,,,,
FULL BODY 5:,Back Squat,4,3,4,100,77.5%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Bench Press,4,3,5,7.5,77.5%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
